x,z,rho
0.000000000000000000e+00,0.000000000000000000e+00,7.499110412597656250e+01
4.201680719852447510e-01,0.000000000000000000e+00,7.509666442871093750e+01
8.403361439704895020e-01,0.000000000000000000e+00,7.519233703613281250e+01
1.260504245758056641e+00,0.000000000000000000e+00,7.521399688720703125e+01
1.680672287940979004e+00,0.000000000000000000e+00,7.512843322753906250e+01
2.100840330123901367e+00,0.000000000000000000e+00,7.487461853027343750e+01
2.521008491516113281e+00,0.000000000000000000e+00,7.431482696533203125e+01
2.941176414489746094e+00,0.000000000000000000e+00,7.315598297119140625e+01
3.361344575881958008e+00,0.000000000000000000e+00,7.084123992919921875e+01
3.781512498855590820e+00,0.000000000000000000e+00,6.653649139404296875e+01
4.201680660247802734e+00,0.000000000000000000e+00,5.954576873779296875e+01
4.621848583221435547e+00,0.000000000000000000e+00,5.021561431884765625e+01
5.042016983032226562e+00,0.000000000000000000e+00,4.095712661743164062e+01
5.462184906005859375e+00,0.000000000000000000e+00,3.542776489257812500e+01
5.882352828979492188e+00,0.000000000000000000e+00,3.294679641723632812e+01
6.302521228790283203e+00,0.000000000000000000e+00,3.050656890869140625e+01
6.722689151763916016e+00,0.000000000000000000e+00,2.679589080810546875e+01
7.142857074737548828e+00,0.000000000000000000e+00,1.933249282836914062e+01
7.563024997711181641e+00,0.000000000000000000e+00,1.235050106048583984e+01
7.983193397521972656e+00,0.000000000000000000e+00,6.577625274658203125e+00
8.403361320495605469e+00,0.000000000000000000e+00,7.186478376388549805e-01
8.823529243469238281e+00,0.000000000000000000e+00,8.042393624782562256e-02
9.243697166442871094e+00,0.000000000000000000e+00,4.836872592568397522e-02
9.663865089416503906e+00,0.000000000000000000e+00,3.942363336682319641e-02
1.008403396606445312e+01,0.000000000000000000e+00,3.661326318979263306e-02
1.050420188903808594e+01,0.000000000000000000e+00,4.058720916509628296e-02
1.092436981201171875e+01,0.000000000000000000e+00,7.890981435775756836e-02
1.134453773498535156e+01,0.000000000000000000e+00,4.090773761272430420e-01
1.176470565795898438e+01,0.000000000000000000e+00,7.820341587066650391e-01
1.218487358093261719e+01,0.000000000000000000e+00,9.192718267440795898e-01
1.260504245758056641e+01,0.000000000000000000e+00,9.710953235626220703e-01
1.302521038055419922e+01,0.000000000000000000e+00,9.924624562263488770e-01
1.344537830352783203e+01,0.000000000000000000e+00,1.001860737800598145e+00
1.386554622650146484e+01,0.000000000000000000e+00,1.006033301353454590e+00
1.428571414947509766e+01,0.000000000000000000e+00,1.007662057876586914e+00
1.470588207244873047e+01,0.000000000000000000e+00,1.007880330085754395e+00
1.512604999542236328e+01,0.000000000000000000e+00,1.007155418395996094e+00
1.554621887207031250e+01,0.000000000000000000e+00,1.005606412887573242e+00
1.596638679504394531e+01,0.000000000000000000e+00,1.003074526786804199e+00
1.638655471801757812e+01,0.000000000000000000e+00,9.990111589431762695e-01
1.680672264099121094e+01,0.000000000000000000e+00,9.920597076416015625e-01
1.722689056396484375e+01,0.000000000000000000e+00,9.789740443229675293e-01
1.764705848693847656e+01,0.000000000000000000e+00,9.522630572319030762e-01
1.806722640991210938e+01,0.000000000000000000e+00,8.973572254180908203e-01
1.848739433288574219e+01,0.000000000000000000e+00,7.986977696418762207e-01
1.890756225585937500e+01,0.000000000000000000e+00,6.671004295349121094e-01
1.932773017883300781e+01,0.000000000000000000e+00,5.406515598297119141e-01
1.974790000915527344e+01,0.000000000000000000e+00,4.337790608406066895e-01
2.016806793212890625e+01,0.000000000000000000e+00,3.361049294471740723e-01
2.058823585510253906e+01,0.000000000000000000e+00,2.428877204656600952e-01
2.100840377807617188e+01,0.000000000000000000e+00,1.631270647048950195e-01
2.142857170104980469e+01,0.000000000000000000e+00,1.070679053664207458e-01
2.184873962402343750e+01,0.000000000000000000e+00,7.361083477735519409e-02
2.226890754699707031e+01,0.000000000000000000e+00,5.482000485062599182e-02
2.268907546997070312e+01,0.000000000000000000e+00,4.402336850762367249e-02
2.310924339294433594e+01,0.000000000000000000e+00,3.745662793517112732e-02
2.352941131591796875e+01,0.000000000000000000e+00,3.321519866585731506e-02
2.394957923889160156e+01,0.000000000000000000e+00,3.032793477177619934e-02
2.436974716186523438e+01,0.000000000000000000e+00,2.827445976436138153e-02
2.478991508483886719e+01,0.000000000000000000e+00,2.675906382501125336e-02
2.521008491516113281e+01,0.000000000000000000e+00,2.560423314571380615e-02
2.563025283813476562e+01,0.000000000000000000e+00,2.469817362725734711e-02
2.605042076110839844e+01,0.000000000000000000e+00,2.396762743592262268e-02
2.647058868408203125e+01,0.000000000000000000e+00,2.336297556757926941e-02
2.689075660705566406e+01,0.000000000000000000e+00,2.284957654774188995e-02
2.731092453002929688e+01,0.000000000000000000e+00,2.240267954766750336e-02
2.773109245300292969e+01,0.000000000000000000e+00,2.200413309037685394e-02
2.815126037597656250e+01,0.000000000000000000e+00,2.164043113589286804e-02
2.857142829895019531e+01,0.000000000000000000e+00,2.130129560828208923e-02
2.899159622192382812e+01,0.000000000000000000e+00,2.097880654036998749e-02
2.941176414489746094e+01,0.000000000000000000e+00,2.066677063703536987e-02
2.983193206787109375e+01,0.000000000000000000e+00,2.036032825708389282e-02
3.025209999084472656e+01,0.000000000000000000e+00,2.005568519234657288e-02
3.067226982116699219e+01,0.000000000000000000e+00,1.974989101290702820e-02
3.109243774414062500e+01,0.000000000000000000e+00,1.944074966013431549e-02
3.151260566711425781e+01,0.000000000000000000e+00,1.912671327590942383e-02
3.193277359008789062e+01,0.000000000000000000e+00,1.880684122443199158e-02
3.235293960571289062e+01,0.000000000000000000e+00,1.848077960312366486e-02
3.277310943603515625e+01,0.000000000000000000e+00,1.814873702824115753e-02
3.319327545166015625e+01,0.000000000000000000e+00,1.781139336526393890e-02
3.361344528198242188e+01,0.000000000000000000e+00,1.746993884444236755e-02
3.403361511230468750e+01,0.000000000000000000e+00,1.712597906589508057e-02
3.445378112792968750e+01,0.000000000000000000e+00,1.678144372999668121e-02
3.487395095825195312e+01,0.000000000000000000e+00,1.643851026892662048e-02
3.529411697387695312e+01,0.000000000000000000e+00,1.609952747821807861e-02
3.571428680419921875e+01,0.000000000000000000e+00,1.576684229075908661e-02
3.613445281982421875e+01,0.000000000000000000e+00,1.544274203479290009e-02
3.655462265014648438e+01,0.000000000000000000e+00,1.512931380420923233e-02
3.697478866577148438e+01,0.000000000000000000e+00,1.482839696109294891e-02
3.739495849609375000e+01,0.000000000000000000e+00,1.454149279743432999e-02
