x,y,t,u
-1.0,-1.0,0.0,3.7978109527995595e-52
-1.0,-0.9375,0.0,1.68566599155613e-48
-1.0,-0.875,0.0,4.945680088072929e-46
-1.0,-0.8125,0.0,1.6152070265048834e-43
-1.0,-0.75,0.0,7.577101932922472e-41
-1.0,-0.6875,0.0,4.4452114980474543e-38
-1.0,-0.625,0.0,2.5887751630593316e-35
-1.0,-0.5625,0.0,1.0421778153673096e-32
-1.0,-0.5,0.0,3.6064466344657514e-32
-1.0,-0.4375,0.0,1.408593101779239e-29
-1.0,-0.375,0.0,2.566398996244128e-27
-1.0,-0.3125,0.0,7.579132861549952e-27
-1.0,-0.25,0.0,9.463931259108758e-25
-1.0,-0.1875,0.0,3.3042133550414976e-23
-1.0,-0.125,0.0,1.292689090634481e-22
-1.0,-0.0625,0.0,2.9343515670225832e-21
-1.0,0.0,0.0,7.058883911899215e-21
-1.0,0.0625,0.0,8.01508126255032e-20
-1.0,0.125,0.0,2.9598001125881514e-19
-1.0,0.1875,0.0,8.048516025653972e-19
-1.0,0.25,0.0,1.836822559916766e-18
-1.0,0.3125,0.0,3.093243526210318e-18
-1.0,0.375,0.0,3.85423049045525e-18
-1.0,0.4375,0.0,3.781197188181554e-18
-1.0,0.5,0.0,2.8477570199827675e-18
-1.0,0.5625,0.0,1.5583166635210799e-18
-1.0,0.625,0.0,6.696317094977604e-19
-1.0,0.6875,0.0,1.85721186028342e-19
-1.0,0.75,0.0,3.4825242541701245e-20
-1.0,0.8125,0.0,4.9940978627101894e-21
-1.0,0.875,0.0,6.024934704124937e-22
-1.0,0.9375,0.0,5.464744342330915e-23
-1.0,1.0,0.0,2.3679917471444798e-24
-0.9375,-1.0,0.0,1.1372029769596525e-49
-0.9375,-0.9375,0.0,5.047498170871745e-46
-0.9375,-0.875,0.0,1.4809168200172096e-43
-0.9375,-0.8125,0.0,4.836518356958918e-41
-0.9375,-0.75,0.0,2.2688603993030086e-38
-0.9375,-0.6875,0.0,1.3310582890041923e-35
-0.9375,-0.625,0.0,7.751736088759476e-33
-0.9375,-0.5625,0.0,3.1206601089065374e-30
-0.9375,-0.5,0.0,1.079901527467357e-29
-0.9375,-0.4375,0.0,4.217840984126228e-27
-0.9375,-0.375,0.0,7.6847336922962285e-25
-0.9375,-0.3125,0.0,2.2694685333333112e-24
-0.9375,-0.25,0.0,2.833845848400176e-22
-0.9375,-0.1875,0.0,9.894018713841083e-21
-0.9375,-0.125,0.0,3.870782143774472e-20
-0.9375,-0.0625,0.0,8.786517757036885e-19
-0.9375,0.0,0.0,2.1136870419278947e-18
-0.9375,0.0625,0.0,2.4000073688835698e-17
-0.9375,0.125,0.0,8.862719974935944e-17
-0.9375,0.1875,0.0,2.410018955191552e-16
-0.9375,0.25,0.0,5.50011601221004e-16
-0.9375,0.3125,0.0,9.262298176991754e-16
-0.9375,0.375,0.0,1.1540970422457001e-15
-0.9375,0.4375,0.0,1.1322282104910263e-15
-0.9375,0.5,0.0,8.527222131461954e-16
-0.9375,0.5625,0.0,4.66616788151514e-16
-0.9375,0.625,0.0,2.0051213263948098e-16
-0.9375,0.6875,0.0,5.561169006588333e-17
-0.9375,0.75,0.0,1.042794651549746e-17
-0.9375,0.8125,0.0,1.4954148659019686e-18
-0.9375,0.875,0.0,1.8040849759695523e-19
-0.9375,0.9375,0.0,1.6363435704562885e-20
-0.9375,1.0,0.0,7.090630096486151e-22
-0.875,-1.0,0.0,6.83903379590438e-48
-0.875,-0.9375,0.0,3.035518836544712e-44
-0.875,-0.875,0.0,8.906097140282482e-42
-0.875,-0.8125,0.0,2.9086375227566866e-39
-0.875,-0.75,0.0,1.364471713792652e-36
-0.875,-0.6875,0.0,8.004861759292994e-34
-0.875,-0.625,0.0,4.661822573635305e-31
-0.875,-0.5625,0.0,1.8767362012542358e-28
-0.875,-0.5,0.0,6.494428164744529e-28
-0.875,-0.4375,0.0,2.536570658064127e-25
-0.875,-0.375,0.0,4.621527950502757e-23
-0.875,-0.3125,0.0,1.364837439988427e-22
-0.875,-0.25,0.0,1.7042487508612908e-20
-0.875,-0.1875,0.0,5.950171581697405e-19
-0.875,-0.125,0.0,2.327852673111343e-18
-0.875,-0.0625,0.0,5.284130723025863e-17
-0.875,0.0,0.0,1.2711518881490786e-16
-0.875,0.0625,0.0,1.4433422914611994e-15
-0.875,0.125,0.0,5.329958033901181e-15
-0.875,0.1875,0.0,1.4493631671094514e-14
-0.875,0.25,0.0,3.30771903090386e-14
-0.875,0.3125,0.0,5.570260678489074e-14
-0.875,0.375,0.0,6.940633146048943e-14
-0.875,0.4375,0.0,6.809116009286762e-14
-0.875,0.5,0.0,5.128192725819931e-14
-0.875,0.5625,0.0,2.8061903183162478e-14
-0.875,0.625,0.0,1.2058614683515213e-14
-0.875,0.6875,0.0,3.3444357385061013e-15
-0.875,0.75,0.0,6.271270836103462e-16
-0.875,0.8125,0.0,8.99328705078154e-17
-0.875,0.875,0.0,1.0849600617759349e-17
-0.875,0.9375,0.0,9.840819279229358e-19
-0.875,1.0,0.0,4.264239528617278e-20
-0.8125,-1.0,0.0,3.585716560526507e-46
-0.8125,-0.9375,0.0,1.5915274711036897e-42
-0.8125,-0.875,0.0,4.669481239395632e-40
-0.8125,-0.8125,0.0,1.5250033915847635e-37
-0.8125,-0.75,0.0,7.15394742375179e-35
-0.8125,-0.6875,0.0,4.196962060958169e-32
-0.8125,-0.625,0.0,2.4442011698393257e-29
-0.8125,-0.5625,0.0,9.839758476711538e-27
-0.8125,-0.5,0.0,3.4050392667191e-26
-0.8125,-0.4375,0.0,1.3299281282997672e-23
-0.8125,-0.375,0.0,2.423074633287729e-21
-0.8125,-0.3125,0.0,7.155864932154212e-21
-0.8125,-0.25,0.0,8.935403964342759e-19
-0.8125,-0.1875,0.0,3.11968465358998e-17
-0.8125,-0.125,0.0,1.22049694877071e-16
-0.8125,-0.0625,0.0,2.770478346354592e-15
-0.8125,0.0,0.0,6.664670057647891e-15
-0.8125,0.0625,0.0,7.56746714733291e-14
-0.8125,0.125,0.0,2.7945056801028744e-13
-0.8125,0.1875,0.0,7.599034696441556e-13
-0.8125,0.25,0.0,1.7342424764420946e-12
-0.8125,0.3125,0.0,2.920496748132566e-12
-0.8125,0.375,0.0,3.638985265320701e-12
-0.8125,0.4375,0.0,3.570030616264341e-12
-0.8125,0.5,0.0,2.6887198003840353e-12
-0.8125,0.5625,0.0,1.4712901554019708e-12
-0.8125,0.625,0.0,6.32235132301605e-13
-0.8125,0.6875,0.0,1.753493106052409e-13
-0.8125,0.75,0.0,3.288037515771477e-14
-0.8125,0.8125,0.0,4.715195051509601e-15
-0.8125,0.875,0.0,5.688463278759532e-16
-0.8125,0.9375,0.0,5.159557579582659e-17
-0.8125,1.0,0.0,2.2357477316417363e-18
-0.75,-1.0,0.0,2.0446510899972022e-44
-0.75,-0.9375,0.0,9.075224780384731e-41
-0.75,-0.875,0.0,2.662636531552734e-38
-0.75,-0.8125,0.0,8.695890470482064e-36
-0.75,-0.75,0.0,4.079331467183503e-33
-0.75,-0.6875,0.0,2.3931961458088562e-30
-0.75,-0.625,0.0,1.3937349764618887e-27
-0.75,-0.5625,0.0,5.610837486765355e-25
-0.75,-0.5,0.0,1.9416250924078076e-24
-0.75,-0.4375,0.0,7.583530240735984e-22
-0.75,-0.375,0.0,1.3816881804424774e-19
-0.75,-0.3125,0.0,4.0804248708530093e-19
-0.75,-0.25,0.0,5.0951555001257516e-17
-0.75,-0.1875,0.0,1.7789098830705255e-15
-0.75,-0.125,0.0,6.9595306112980955e-15
-0.75,-0.0625,0.0,1.579785093179751e-13
-0.75,0.0,0.0,3.800335209942118e-13
-0.75,0.0625,0.0,4.315129121371531e-12
-0.75,0.125,0.0,1.593485984845021e-11
-0.75,0.1875,0.0,4.333129602615413e-11
-0.75,0.25,0.0,9.889015793418153e-11
-0.75,0.3125,0.0,1.6653287449261489e-10
-0.75,0.375,0.0,2.0750260271908304e-10
-0.75,0.4375,0.0,2.0357066342679371e-10
-0.75,0.5,0.0,1.5331646486148973e-10
-0.75,0.5625,0.0,8.389606286959443e-11
-0.75,0.625,0.0,3.605137858986783e-11
-0.75,0.6875,0.0,9.998786937208951e-12
-0.75,0.75,0.0,1.874908230221813e-12
-0.75,0.8125,0.0,2.688703509851004e-13
-0.75,0.875,0.0,3.243681547884776e-14
-0.75,0.9375,0.0,2.942088380640975e-15
-0.75,1.0,0.0,1.2748704364376165e-16
-0.6875,-1.0,0.0,1.1262650926342329e-42
-0.6875,-0.9375,0.0,4.998950152405107e-39
-0.6875,-0.875,0.0,1.4666730155240141e-36
-0.6875,-0.8125,0.0,4.789999591709459e-34
-0.6875,-0.75,0.0,2.2470379690940745e-31
-0.6875,-0.6875,0.0,1.3182558589275135e-28
-0.6875,-0.625,0.0,7.677178077236589e-26
-0.6875,-0.5625,0.0,3.090644869778829e-23
-0.6875,-0.5,0.0,1.0695147818910604e-22
-0.6875,-0.4375,0.0,4.177272802612414e-20
-0.6875,-0.375,0.0,7.610820125500349e-18
-0.6875,-0.3125,0.0,2.2476402539489728e-17
