x,y,z,sdf,value,region
2.72,0,0,-0.02,0.5,twisted_surface
2.678557,-0.031621,0.073162,0.032902,0.77032,twisted_surface
2.698223,-0.064194,0.148528,0.049288,0.954816,twisted_surface
2.774599,-0.080308,0.185811,0.017845,0.994911,twisted_surface
2.862647,-0.075886,0.175579,-0.039721,0.877875,twisted_surface
2.926329,-0.065315,0.151122,-0.083674,0.640866,twisted_surface
2.973671,-0.065315,0.151122,-0.083674,0.359134,twisted_surface
3.037353,-0.075886,0.175579,-0.039721,0.122125,twisted_surface
3.125401,-0.080308,0.185811,0.017845,0.005089,twisted_surface
3.201777,-0.064194,0.148528,0.049288,0.045184,twisted_surface
3.221443,-0.031621,0.073162,0.032902,0.22968,twisted_surface
3.18,0,0,-0.02,0.5,twisted_surface
3.119924,0.019795,-0.045799,-0.072902,0.77032,twisted_surface
3.0852,0.034471,-0.079757,-0.089288,0.954816,twisted_surface
3.075835,0.057614,-0.133303,-0.057845,0.994911,twisted_surface
3.053738,0.09012,-0.208513,-0.000279,0.877875,twisted_surface
2.991794,0.115325,-0.266829,0.043674,0.640866,twisted_surface
2.908206,0.115325,-0.266829,0.043674,0.359134,twisted_surface
2.846262,0.09012,-0.208513,-0.000279,0.122125,twisted_surface
2.824165,0.057614,-0.133303,-0.057845,0.005089,twisted_surface
2.8148,0.034471,-0.079757,-0.089288,0.045184,twisted_surface
2.780076,0.019795,-0.045799,-0.072902,0.22968,twisted_surface
2.694085,0.181148,0.088849,-0.003065,0.569587,twisted_surface
2.663828,0.145431,0.164531,0.042421,0.82623,twisted_surface
2.699235,0.118375,0.235272,0.044819,0.979297,twisted_surface
2.78274,0.114201,0.264132,0.002474,0.980191,twisted_surface
2.866276,0.127974,0.251475,-0.055384,0.828628,twisted_surface
2.923217,0.140577,0.23541,-0.088818,0.572728,twisted_surface
2.971406,0.139837,0.248204,-0.074748,0.293737,twisted_surface
3.041765,0.13368,0.27863,-0.022887,0.080233,twisted_surface
3.131198,0.140285,0.283913,0.030967,0.000003,twisted_surface
3.196975,0.166812,0.237666,0.049639,0.078518,twisted_surface
3.200807,0.201283,0.15879,0.020241,0.29085,twisted_surface
3.151829,0.226645,0.088849,-0.036935,0.569587,twisted_surface
3.097966,0.240037,0.045478,-0.082421,0.82623,twisted_surface
3.074596,0.254426,0.006812,-0.084819,0.979297,twisted_surface
3.068913,0.280675,-0.055228,-0.042474,0.980191,twisted_surface
3.040079,0.311385,-0.132912,0.015384,0.828628,twisted_surface
2.970568,0.326065,-0.182862,0.048818,0.572728,twisted_surface
2.888469,0.312376,-0.170069,0.034748,0.293737,twisted_surface
2.83526,0.279291,-0.105756,-0.017113,0.080233,twisted_surface
2.817854,0.247172,-0.035446,-0.070967,0.000003,twisted_surface
2.802178,0.226315,0.009206,-0.089639,0.078518,twisted_surface
2.75654,0.208582,0.039738,-0.060241,0.29085,twisted_surface
2.651659,0.357195,0.176725,0.012863,0.637819,twisted_surface
2.635273,0.320473,0.254087,0.048231,0.875789,twisted_surface
2.684961,0.302235,0.319342,0.0365,0.994449,twisted_surface
2.77168,0.31036,0.340784,-0.014231,0.956125,twisted_surface
2.848281,0.331092,0.328365,-0.068945,0.772985,twisted_surface
