x,y,z,sdf,value,label
0.026177,0,0.999657,0,0.5,surface_outer
0.080275,0.002102,1.02034,0.023495,0.539109,surface_outer
0.13642,0.007149,1.037634,0.046587,0.577548,surface_outer
0.194188,0.015283,1.050984,0.068883,0.614768,surface_outer
0.253062,0.026598,1.059883,0.09,0.650239,surface_outer
0.312441,0.041134,1.063884,0.109577,0.683462,surface_outer
0.371661,0.058865,1.06262,0.127279,0.713975,surface_outer
0.430009,0.079697,1.055813,0.142804,0.741363,surface_outer
0.486747,0.103461,1.043284,0.155885,0.765263,surface_outer
0.541133,0.129915,1.024963,0.166298,0.785373,surface_outer
0.592444,0.158745,1.000886,0.173867,0.801454,surface_outer
0.64,0.189577,0.9712,0.17846,0.813335,surface_outer
0.68318,0.221979,0.936157,0.18,0.820918,surface_outer
0.721449,0.255479,0.896108,0.17846,0.824176,surface_outer
0.754367,0.289574,0.851493,0.173867,0.823157,surface_outer
0.781605,0.323751,0.802827,0.166298,0.817978,surface_outer
0.802953,0.357498,0.750687,0.155885,0.808831,surface_outer
0.818326,0.390322,0.695695,0.142804,0.795971,surface_outer
0.827763,0.421766,0.638498,0.127279,0.779716,surface_outer
0.831422,0.451426,0.579752,0.109577,0.760444,surface_outer
0.829575,0.478955,0.520103,0.09,0.738579,surface_outer
0.822591,0.504085,0.460166,0.068883,0.714592,surface_outer
0.810928,0.526623,0.400512,0.046587,0.688986,surface_outer
0.795108,0.546462,0.34165,0.023495,0.662292,surface_outer
0.775701,0.56358,0.284015,0,0.635057,surface_outer
0.753308,0.578034,0.227961,-0.023495,0.607838,surface_inner
0.728534,0.589955,0.173746,-0.046587,0.581187,surface_inner
0.70197,0.599539,0.121535,-0.068883,0.555646,surface_inner
0.674177,0.607032,0.071398,-0.09,0.531737,surface_inner
0.645669,0.612717,0.023309,-0.109577,0.509953,surface_inner
0.616895,0.616895,-0.022845,-0.127279,0.490745,surface_inner
0.588236,0.619872,-0.067255,-0.142804,0.474522,surface_inner
0.559991,0.621933,-0.110179,-0.155885,0.461639,surface_inner
0.532379,0.623336,-0.15193,-0.166298,0.452391,surface_inner
0.505538,0.624287,-0.192857,-0.173867,0.447009,surface_inner
0.479527,0.624931,-0.23333,-0.17846,0.445656,surface_inner
0.454338,0.625343,-0.273722,-0.18,0.448424,surface_inner
0.429905,0.625515,-0.31439,-0.17846,0.455332,surface_inner
0.406113,0.62536,-0.35566,-0.173867,0.466327,surface_inner
0.38282,0.624705,-0.397808,-0.166298,0.481281,surface_inner
0.359863,0.623302,-0.441049,-0.155885,0.5,surface_inner
0.337083,0.62083,-0.485521,-0.142804,0.52222,surface_inner
0.314332,0.616911,-0.531279,-0.127279,0.547616,surface_inner
0.291492,0.611125,-0.578283,-0.109577,0.575805,surface_inner
0.268483,0.603023,-0.626403,-0.09,0.606357,surface_inner
0.245277,0.59215,-0.675408,-0.068883,0.638794,surface_inner
0.221899,0.578065,-0.724981,-0.046587,0.672609,surface_inner
0.198434,0.560361,-0.774714,-0.023495,0.707263,surface_inner
0.175029,0.538684,-0.824126,0,0.742205,surface_outer
0.151884,0.512752,-0.872673,0.023495,0.776873,surface_outer
0.129251,0.482372,-0.919759,0.046587,0.810709,surface_outer
0.107424,0.447452,-0.964758,0.068883,0.843166,surface_outer
0.086725,0.40801,-1.007029,0.09,0.873717,surface_outer
0.067497,0.364182,-1.045933,0.109577,0.901867,surface_outer
0.050085,0.316223,-1.080858,0.127279,0.927157,surface_outer
